countries,x,y
Algeria,-94.0,160.0
Angola,-4.0,-81.0
Benin,-85.0,53.0
Botswana,38.0,-139.0
Burkina Faso,-113.0,73.0
Burundi,82.0,-28.0
Cape Verde,-218.0,111.0
Cameroon,-23.0,26.0
Central African Republic,10.0,33.0
Chad,11.0,90.0
Comoros,161.0,-87.0
Democratic Republic of the Congo,40.0,-8.0
C�te d'Ivoire,-136.0,41.0
Djibouti,161.0,71.0
Egypt,67.0,157.0
Equatorial Guinea,-56.0,6.0
Eritrea,136.0,98.0
Eswatini,84.0,-170.0
Ethiopia,126.0,45.0
Gabon,-32.0,-12.0
Gambia,-185.0,72.0
Ghana,-107.0,35.0
Guinea,-164.0,66.0
Guinea-Bissau,-199.0,65.0
Kenya,134.0,-11.0
Lesotho,60.0,-185.0
Liberia,-160.0,31.0
Libya,-4.0,165.0
Madagascar,170.0,-127.0
Malawi,102.0,-88.0
Mali,-110.0,108.0
Mauritania,-178.0,117.0
Mauritius,208.0,-121.0
Morocco,-129.0,193.0
Mozambique,112.0,-119.0
Namibia,0.0,-153.0
Niger,-50.0,105.0
Nigeria,-55.0,57.0
Rwanda,136.0,-93.0
S�o Tom� and Pr�ncipe,-78.0,-6.0
Senegal,-188.0,88.0
Seychelles,199.0,-19.0
Sierra Leone,-177.0,49.0
Somalia,169.0,15.0
South Africa,26.0,-200.0
South Sudan,78.0,35.0
Sudan,72.0,97.0
Tanzania,99.0,-41.0
Togo,-96.0,49.0
Tunisia,-40.0,201.0
Uganda,92.0,-0.0
Zambia,56.0,-93.0
Zimbabwe,71.0,-124.0
