,0
0,Algeria
1,Benin
2,Botswana
3,Burkina Faso
4,Burundi
5,Cape Verde
6,Cameroon
7,Central African Republic
8,Chad
9,Comoros
10,Democratic Republic of the Congo
11,C�te d'Ivoire
12,Djibouti
13,Egypt
14,Equatorial Guinea
15,Eritrea
16,Eswatini
17,Ethiopia
18,Gabon
19,Gambia
20,Ghana
21,Guinea
22,Guinea-Bissau
23,Kenya
24,Lesotho
25,Liberia
26,Libya
27,Madagascar
28,Malawi
29,Mali
30,Mauritania
31,Mauritius
32,Morocco
33,Mozambique
34,Namibia
35,Niger
36,Nigeria
37,Rwanda
38,S�o Tom� and Pr�ncipe
39,Senegal
40,Seychelles
41,Sierra Leone
42,Somalia
43,South Africa
44,South Sudan
45,Sudan
46,Tanzania
47,Togo
48,Tunisia
49,Uganda
50,Zambia
51,Zimbabwe
