countries,x,y
Afghanistan,-156.0,16.0
Armenia,-240.0,50.0
Azerbaijan,-232.0,57.0
Bangladesh,-30.0,-37.0
Bhutan,-22.0,-15.0
Brunei,107.0,-137.0
Cambodia,52.0,-102.0
China,-6.0,33.0
Georgia,-261.0,69.0
India,-86.0,-51.0
Indonesia,118.0,-205.0
Iran,-200.0,11.0
Iraq,-251.0,11.0
Israel,-305.0,16.0
Japan,179.0,38.0
Jordan,-288.0,-1.0
Kazakhstan,-163.0,93.0
kuwait,-224.0,-6.0
Kyrgyzstan,-110.0,62.0
Laos,42.0,-64.0
Lebanon,-305.0,21.0
Malaysia,71.0,-146.0
Maldives,-112.0,-146.0
Mongolia,-7.0,89.0
Myanmar,7.0,-51.0
Nepal,-58.0,-9.0
North Korea,131.0,55.0
Oman,-188.0,-59.0
Pakistan,-138.0,-10.0
Philippines,142.0,-107.0
Russia,-50.0,173.0
Qatar,-222.0,-26.0
Saudi Arabia,-261.0,-42.0
Singapore,75.0,-166.0
South Korea,120.0,32.0
Sri Lanka,-63.0,-133.0
Syria,-274.0,30.0
Taiwan,122.0,-39.0
Tajikistan,-126.0,44.0
Thailand,38.0,-83.0
East Timor,153.0,-224.0
Turkey,-305.0,51.0
Turkmenistan,-188.0,46.0
United Arab Emirates,-193.0,-34.0
Uzbekistan,-171.0,71.0
Vietnam,78.0,-81.0
Yemen,-234.0,-78.0
